Rank,DMA,TV Homes,% of US
1,New York,6824120,6.377
2,Los Angeles,5145350,4.808
3,Chicago,3256400,3.043
4,Philadelphia,2758330,2.578
5,Dallas-Ft. Worth,2563320,2.395
6,San Francisco-Oak-San Jose,2364740,2.21
7,"Washington, DC (Hagrstwn)",2351930,2.198
8,Houston,2330180,2.178
9,Boston (Manchester),2302680,2.152
10,Atlanta,2269270,2.121
11,Phoenix (Prescott),1879780,1.757
12,Tampa-St. Pete (Sarasota),1800600,1.683
13,Seattle-Tacoma,1764680,1.649
14,Detroit,1737170,1.623
15,Minneapolis-St. Paul,1697370,1.586
16,Miami-Ft. Lauderdale,1642220,1.535
17,Denver,1532320,1.432
18,Orlando-Daytona Bch-Melbrn,1492640,1.395
19,Cleveland-Akron (Canton),1366110,1.277
20,Sacramnto-Stkton-Modesto,1317500,1.231
21,Charlotte,1125970,1.052
22,"Portland, OR",1112500,1.04
23,St. Louis,1099590,1.028
24,Pittsburgh,1079900,1.009
25,Indianapolis,1053830,0.985
26,Baltimore,1039490,0.971
27,Raleigh-Durham (Fayetvlle),1025320,0.958
28,Nashville,983180,0.919
29,San Diego,981650,0.917
30,Salt Lake City,952470,0.89
31,San Antonio,916970,0.857
32,Kansas City,896850,0.838
33,Hartford & New Haven,885890,0.828
34,"Columbus, OH",877490,0.82
35,Milwaukee,837300,0.782
36,West Palm Beach-Ft. Pierce,828980,0.775
37,Cincinnati,828250,0.774
38,Greenvll-Spart-Ashevll-And,787930,0.736
39,Las Vegas,743220,0.695
40,Austin,736770,0.689
41,Jacksonville,690400,0.645
42,Norfolk-Portsmth-Newpt Nws,684310,0.639
43,Oklahoma City,666690,0.623
44,Birmingham (Ann and Tusc),666170,0.623
45,Grand Rapids-Kalmzoo-B.Crk,653100,0.61
46,Albuquerque-Santa Fe,648350,0.606
47,Harrisburg-Lncstr-Leb-York,641660,0.6
48,Louisville,636150,0.594
49,Greensboro-H.Point-W.Salem,635580,0.594
50,New Orleans,615480,0.575
51,Memphis,580600,0.543
52,Buffalo,576710,0.539
53,Ft. Myers-Naples,564250,0.527
54,Richmond-Petersburg,555630,0.519
55,Fresno-Visalia,550860,0.515
56,Providence-New Bedford,543430,0.508
57,Mobile-Pensacola (Ft Walt),518740,0.485
58,Tulsa,509560,0.476
59,Albany-Schenectady-Troy,500400,0.468
60,Wilkes Barre-Scranton-Hztn,497830,0.465
61,Knoxville,491810,0.46
62,Little Rock-Pine Bluff,472560,0.442
63,Dayton,445240,0.416
64,Lexington,425890,0.398
65,Tucson (Sierra Vista),421820,0.394
66,Honolulu,414130,0.387
67,Green Bay-Appleton,394210,0.368
68,Des Moines-Ames,393470,0.368
69,Roanoke-Lynchburg,384120,0.359
70,Spokane,381590,0.357
71,Omaha,380630,0.356
72,Wichita-Hutchinson Plus,378930,0.354
73,"Springfield, MO",373700,0.349
74,Charleston-Huntington,367290,0.343
75,"Columbia, SC",365850,0.342
76,"Rochester, NY",361750,0.338
77,Flint-Saginaw-Bay City,360530,0.337
78,Huntsville-Decatur (Flor),351610,0.329
79,Portland-Auburn,349470,0.327
80,Toledo,347480,0.325
81,Madison,343350,0.321
82,Waco-Temple-Bryan,333300,0.311
83,Harlingen-Wslco-Brnsvl-McA,331520,0.31
84,Paducah-Cape Girard-Harsbg,330920,0.309
85,Colorado Springs-Pueblo,327530,0.306
86,Shreveport,321190,0.3
87,Syracuse,320830,0.3
88,Champaign&Sprngfld-Decatur,315780,0.295
89,Savannah,315400,0.295
90,Cedar Rapids-Wtrlo-IWC&Dub,311260,0.291
91,"Charleston, SC",309250,0.289
92,Chattanooga,305340,0.285
93,El Paso (Las Cruces),295070,0.276
94,Baton Rouge,293610,0.274
95,"Jackson, MS",284110,0.265
96,Burlington-Plattsburgh,283080,0.265
